verse_id	version	heading_plain
19034014	KJV	ע Ain
19034015	KJV	פ Pe
19034016	KJV	צ Zade
19034017	KJV	ק Qoph
19034018	KJV	ר Resh
19034019	KJV	ש Shin
19034020	KJV	ת Taw
19037001	KJV	א Aleph
19037002	KJV	ב Bet
19037004	KJV	ג Gimel
19037006	KJV	ד Dalet
19037007	KJV	ה He
19037009	KJV	ו Waw
19037011	KJV	ז Zain
19037013	KJV	ח Het
19037015	KJV	ט Tet
19037017	KJV	י Yod
19037019	KJV	כ Kaph
19037020	KJV	ל Lamed
19037022	KJV	מ Mem
19037024	KJV	נ Nun
19037026	KJV	ס Samek
19037028	KJV	ע Ain
19037029	KJV	פ Pe
19037031	KJV	צ Zade
19037033	KJV	ק Qoph
19037034	KJV	ר Resh
19037036	KJV	ש Shin
19037038	KJV	ת Taw
19111001	KJV	א Aleph
19111001	KJV	ב Bet
19111001	KJV	ג Gimel
19111002	KJV	ד Dalet
19111002	KJV	ה He
19111004	KJV	ח Het
19111004	KJV	ט Tet
19111005	KJV	י Yod
19111005	KJV	כ Kaph
19111008	KJV	ע Ain
19111008	KJV	פ Pe
19111010	KJV	ש Shin
19111010	KJV	ת Taw
19112001	KJV	א Aleph
19112001	KJV	ב Bet
19112001	KJV	ג Gimel
19112003	KJV	ו Waw
19112003	KJV	ז Zain
19112006	KJV	ל Lamed
19112006	KJV	מ Mem
19112007	KJV	נ Nun
19112007	KJV	ס Samek
19112009	KJV	צ Zade
19112009	KJV	ק Qoph
19112009	KJV	ר Resh
19112010	KJV	ש Shin
19112010	KJV	ת Taw
19119001	KJV	א Aleph
19119016	KJV	ג Gimel
19119024	KJV	ד Dalet
19119032	KJV	ה He
19119040	KJV	ו Waw
19119048	KJV	ז Zain
19119056	KJV	ח Het
19119064	KJV	ט Tet
19119080	KJV	כ Kaph
19119088	KJV	ל Lamed
19119104	KJV	נ Nun
19119112	KJV	ס Samek
19119120	KJV	ע Ain
19119136	KJV	צ Zade
19119152	KJV	ר Resh
19119160	KJV	ש Shin
19119168	KJV	ת Taw
19145002	KJV	ג Gimel
19145003	KJV	ד Dalet
19145004	KJV	ה He
19145005	KJV	ו Waw
19145006	KJV	ז Zain
19145007	KJV	ח Het
19145008	KJV	ט Tet
19145009	KJV	י Yod
19145010	KJV	כ Kaph
19145011	KJV	ל Lamed
