verse_id	version
4023024	KJV
4023026	KJV
4024001	KJV
4024009	KJV
4025001	KJV
4025005	KJV
4025009	KJV
4025013	KJV
4025015	KJV
4026001	KJV
4026004	KJV
4026011	KJV
4026014	KJV
4026018	KJV
4026022	KJV
4026025	KJV
4026027	KJV
4026034	KJV
4026037	KJV
4026041	KJV
4026043	KJV
4026047	KJV
4026049	KJV
4026051	KJV
4026056	KJV
4026062	KJV
4027001	KJV
4027005	KJV
4027011	KJV
4027014	KJV
4028001	KJV
4028008	KJV
4028010	KJV
4028015	KJV
4028025	KJV
4029001	KJV
4029006	KJV
4029011	KJV
4029016	KJV
4029019	KJV
4029022	KJV
4029025	KJV
4029028	KJV
4029031	KJV
4029034	KJV
4029038	KJV
4030001	KJV
4030005	KJV
4030008	KJV
4030012	KJV
4031001	KJV
4031012	KJV
4031020	KJV
4031024	KJV
4031031	KJV
4031041	KJV
4031047	KJV
4032001	KJV
4032005	KJV
4032015	KJV
4032019	KJV
4032027	KJV
4032033	KJV
4033001	KJV
4033004	KJV
4033037	KJV
4033039	KJV
4033043	KJV
4033049	KJV
4034001	KJV
4034005	KJV
4034006	KJV
4034009	KJV
4034012	KJV
4034015	KJV
4035001	KJV
4035008	KJV
4035015	KJV
4035021	KJV
4035028	KJV
4036001	KJV
4036004	KJV
4036009	KJV
4036012	KJV
5001001	KJV
5001008	KJV
5001018	KJV
5001025	KJV
5001033	KJV
5001040	KJV
5002001	KJV
5002007	KJV
5002015	KJV
5002025	KJV
5003001	KJV
5003011	KJV
5003017	KJV
5003022	KJV
5004001	KJV
5004008	KJV
5004014	KJV
5004024	KJV
5004031	KJV
5004040	KJV
5004043	KJV
5005001	KJV
5005005	KJV
5005006	KJV
5005007	KJV
5005010	KJV
5005011	KJV
5005015	KJV
5005016	KJV
5005017	KJV
5005018	KJV
5005019	KJV
5005020	KJV
5005021	KJV
5005027	KJV
5006001	KJV
5006003	KJV
5006009	KJV
5006015	KJV
5006019	KJV
5007001	KJV
5007005	KJV
5007011	KJV
5007016	KJV
5008001	KJV
5008010	KJV
5009001	KJV
